(1) Saldo de la cartera a la fecha de corte del reporte,(2) Vigente,(3) Vencida 1-2 Meses,(4) Vencida 2-3 Meses,(5) Vencida 1-3 Meses,(6) Vencida 3-4 Meses,(7) Vencida > de 4 Meses,(8) Vencida 3-6 Meses,(9) Vencida +6 meses,(10) Vencida 1-4 meses,(11) Vencida 4-6 meses,(12) Vencida 6-12 meses,(13) Vencida 12-18 meses,(14) Vencida > 12 meses,(15) Vencida > 18 meses,(16) Número de clientes Mora > 30 días,(17) Calificación de Riesgo A / Número de Clientes,(18) Calificación de Riesgo A / Saldo,(19) Calificación de Riesgo B / Número de Clientes,(20) Calificación de Riesgo B / Saldo,(21) Calificación de Riesgo C / Número de Clientes,(22) Calificación de Riesgo C / Saldo,(23) Calificación de Riesgo D / Número de Clientes,(24) Calificación de Riesgo D / Saldo,(25) Calificación de Riesgo E / Número de Clientes,(26) Calificación de Riesgo E / Saldo,año,mes,dia
4084605372363.0,3753511483300.0,33404913015.0,24635698679.0,0.0,19181473329.0,253871804040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85931,680926,3550037931856.0,29472,138455643450.0,13903,66454351700.0,10621,42616885789.0,65403,287040559568.0,2018,8,31
4060976899168.0,3762461608585.0,40308818713.0,22914499359.0,0.0,20319250738.0,214972721773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73753,680000,3562779377379.0,30341,141511003208.0,13240,63982408451.0,10645,43882252510.0,53030,248821857620.0,2018,9,30
4081898948362.0,3765249227508.0,49874148069.0,27757326260.0,0.0,18804872145.0,220213374380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79601,677763,3570690395825.0,31033,147111855801.0,13813,66301560516.0,10459,43474404121.0,55980,254320732099.0,2018,10,31
4114267497456.0,3788866156482.0,39443080081.0,38113661723.0,0.0,23615568341.0,224229030829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84060,677046,3598309483684.0,28826,133472492455.0,15145,75307184467.0,11630,48722426001.0,58774,258455910849.0,2018,11,30
4100712958042.0,3782491191517.0,35875988515.0,29006459437.0,0.0,33407999207.0,219931319366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82192,671045,3577420774050.0,29564,137578752432.0,14751,72967228785.0,13019,57579741849.0,57677,255166460926.0,2018,12,31
4098022327026.0,3758451648190.0,49924192806.0,25712324217.0,0.0,25319224319.0,238614937494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88706,665505,3559918667926.0,30043,144644147815.0,14324,69745688908.0,12074,50098982776.0,62873,273614839601.0,2019,1,31
4110211650271.0,3776630787567.0,34364859934.0,35196170535.0,0.0,21415053268.0,242604778967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90719,664245,3578768701527.0,27183,128213016470.0,15466,79415969615.0,11574,46728322803.0,66599,277085639856.0,2019,2,28
4089652453592.0,3774568476713.0,40569524983.0,24139238537.0,0.0,29159347888.0,221215865471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82480,660215,3577979297691.0,27885,132766916612.0,13676,68759071880.0,12426,53861720087.0,59045,256285447322.0,2019,3,31
4090586443132.0,3769506497133.0,37590905269.0,28164184250.0,0.0,20282750901.0,235042105579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85975,655851,3573507043062.0,27163,127712211643.0,14362,73508622565.0,10990,44938118818.0,63274,270920447044.0,2019,4,30
4080573755039.0,3778704570531.0,36718681593.0,25857287788.0,0.0,23534913079.0,215758302048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77686,652196,3584204576544.0,26378,123367336487.0,14163,72652628968.0,11544,48424505864.0,55215,251924707176.0,2019,5,31
4064817369373.0,3763766465667.0,38313102008.0,27722750276.0,0.0,22324906302.0,212690145120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74827,641223,3545129499807.0,28624,138132157394.0,16404,83864450072.0,12116,48628959631.0,51367,249062302469.0,2019,6,30
4083956302798.0,3755607660958.0,60460212876.0,25504483942.0,0.0,22670893117.0,219713051905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80769,635949,3543566257385.0,29648,150801690231.0,15635,81299444901.0,12721,51127282418.0,54751,257161627863.0,2019,7,31
4086787646576.0,3760199282121.0,38058170627.0,46102354018.0,0.0,21305265242.0,221122574568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83067,633652,3554655870545.0,25802,126168266831.0,17875,99068277651.0,11964,48420455045.0,57393,258474776504.0,2019,8,31
4092299566910.0,3776723323978.0,37928426144.0,26950712909.0,0.0,38607452593.0,212089651286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80266,630934,3572395842479.0,25295,123765138089.0,15306,82815044864.0,13819,63083735034.0,55679,250239806444.0,2019,9,30
4106003162980.0,3791717355049.0,34161724606.0,25906101218.0,0.0,22390385228.0,231827596879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82279,627688,3587037145986.0,24205,119058364131.0,14934,81618780374.0,11433,47870483965.0,60787,270418388524.0,2019,10,31
4084766098454.0,3775613938729.0,33745599640.0,25145752979.0,0.0,22293684831.0,227967122275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83330,622005,3571697108759.0,24028,116799820518.0,14883,81634558859.0,11145,47068058653.0,61047,267566551665.0,2019,11,30
4062115160604.0,3764472217562.0,35775270500.0,22712801597.0,0.0,21104066169.0,218050804776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77738,614614,3545954920417.0,24716,123021890909.0,15984,86797905956.0,11565,48300587448.0,56233,258039855874.0,2019,12,31
4066669523292.0,3745640688538.0,53935801935.0,24950024727.0,0.0,19402737218.0,222740270874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84592,609124,3533959670232.0,26284,135147939180.0,15936,87569923220.0,11113,46170668347.0,59450,263821322313.0,2020,1,31
4078553554598.0,3768584897141.0,34797396176.0,39096514365.0,0.0,20649864230.0,215424882686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85007,609311,3559159287738.0,22939,116160120471.0,17472,98825919739.0,11093,46866729608.0,60479,257541497042.0,2020,2,29
4078554380363.0,3770207593914.0,41864706537.0,25224791132.0,0.0,34145777096.0,207111511684.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79443,612454,3593925712391.0,18150,91485565192.0,16019,86750725437.0,12882,57192220784.0,55549,249200156559.0,2020,3,31
4093098870509.0,3826492618230.0,26250882502.0,10570090721.0,0.0,4489068394.0,225296210662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75199,603337,3573876267787.0,27419,146326725297.0,12658,76144435326.0,8014,33638219019.0,59513,263113223080.0,2020,4,30
4089888066904.0,3819933778802.0,40068208181.0,5885169124.0,0.0,3736612663.0,220264298134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76161,599828,3576859577755.0,28191,146895508836.0,13180,76890687526.0,7378,31422240419.0,58733,257820052368.0,2020,5,31
4056170863180.0,3803983806081.0,21935713174.0,14866891527.0,0.0,4138077127.0,211246375271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66453,599539,3575709890023.0,20835,110796371952.0,15504,89386633471.0,7368,30672695538.0,53704,249605272196.0,2020,6,30
4012867708868.0,3728858821336.0,64182071878.0,11956730157.0,0.0,9798029079.0,198072056418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72424,588709,3511200567533.0,25705,142029917035.0,14354,83374867265.0,8709,39699214285.0,52238,236563142750.0,2020,7,31
4002227275926.0,3703691100736.0,60741009739.0,35501487392.0,0.0,7229501663.0,195064176396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77787,580743,3490723026448.0,27300,138903244424.0,17163,99754657385.0,8338,37125069458.0,51513,235721278211.0,2020,8,31
3982533950166.0,3666582957964.0,68365827502.0,39798485877.0,0.0,29791598458.0,177995080365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80318,572012,3461108419063.0,26485,138652621476.0,19155,104698906179.0,12157,59453377356.0,47326,218620626092.0,2020,9,30
3990915846751.0,3670529384863.0,50355679939.0,49240755485.0,0.0,31426984923.0,189363041541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82272,569791,3468853553746.0,22606,119110504023.0,19501,110213085764.0,13861,63318055914.0,49798,229420647304.0,2020,10,31
4000523607885.0,3674149889394.0,45291307508.0,34614119458.0,0.0,39556285756.0,206912005769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83800,567172,3467299961190.0,21390,114237862809.0,17019,101086065804.0,14019,68417109336.0,54751,249482608746.0,2020,11,30
3994049824844.0,3684287224727.0,37890791538.0,31308062245.0,0.0,27440815097.0,213122931237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78143,560921,3449615767773.0,22676,121075821405.0,18787,110380942316.0,12126,58166030522.0,53911,254811262828.0,2020,12,31
3982323227790.0,3656233865699.0,52785821124.0,27558173671.0,0.0,27134488626.0,218610878670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83881,555581,3428135691984.0,24685,132974809910.0,18005,104336108467.0,11959,58121948054.0,56627,258754669375.0,2021,1,31
3993193217847.0,3681024895642.0,39549116932.0,35301733555.0,0.0,22244106441.0,215073365277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82679,555761,3457400677768.0,21979,116620490393.0,19238,112303098577.0,11180,52948064589.0,56868,253920886520.0,2021,2,28
3977615668414.0,3691633846529.0,36322596870.0,25956200757.0,0.0,27458151158.0,196244873100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79143,553541,3458033695170.0,21694,118215452843.0,18388,107683579262.0,12354,60002911467.0,55254,233680029672.0,2021,3,31
3983433165218.0,3704955375871.0,32459990820.0,24412909891.0,0.0,21545650704.0,200059237932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79478,553482,3479478321083.0,20825,111174349362.0,17725,104134385461.0,10777,52014484511.0,57242,236631624801.0,2021,4,30
4000949596505.0,3719350034317.0,36939806673.0,21289413075.0,0.0,19909489453.0,203460852987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80580,551877,3498751785821.0,21379,113681525690.0,16992,99379788669.0,10474,51005322416.0,57373,238131173909.0,2021,5,31
4029454044205.0,3765024397893.0,36510931585.0,21958973149.0,0.0,16592844735.0,189366896843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69945,554822,3546543623179.0,20900,113434078791.0,17460,102462754889.0,9281,45122410881.0,48450,221891176465.0,2021,6,30
4122097169679.0,3841641098775.0,56051853469.0,21968684227.0,0.0,16704841935.0,185730691273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73580,557749,3633340879900.0,22640,126588478979.0,17046,100239299194.0,9103,44938497877.0,48707,216990013729.0,2021,7,31
4244735302665.0,3982057118026.0,33952047176.0,33879806635.0,0.0,16641161923.0,178205168905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72495,567259,3780413026694.0,18969,102823614965.0,18230,109161499437.0,8887,43924294894.0,49233,208412866675.0,2021,8,31
4365411796238.0,4120970226072.0,33139313528.0,22620182446.0,0.0,27827791207.0,160854282985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66631,574721,3916126080238.0,18114,100969541433.0,16985,101875889784.0,10993,56038595567.0,44309,190401689216.0,2021,9,30
4468057018795.0,4220947346057.0,36388605585.0,23440216051.0,0.0,19077947233.0,168202903869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68983,581028,4022269458804.0,18324,101870774090.0,16819,101617033567.0,9262,45903994870.0,47037,196395757464.0,2021,10,31
4585353504301.0,4338606104176.0,32164043769.0,24781456639.0,0.0,19361147039.0,170440752678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69770,590189,4148453399310.0,17035,94115867971.0,16426,100470034716.0,8791,44232323151.0,48297,198081879153.0,2021,11,30
4631037539723.0,4402759311857.0,31134743644.0,22628910397.0,0.0,20849456929.0,153665116896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60987,594196,4209837794928.0,16996,94336353248.0,16633,101249615158.0,9059,45356293450.0,41234,180257482939.0,2021,12,31
4724443311353.0,4473369708729.0,47207284550.0,22052980719.0,0.0,19329948562.0,162483388793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65767,598038,4287277129748.0,18586,107370208657.0,16185,99104174901.0,8465,42083666106.0,43402,188608131941.0,2022,1,31
